1234,Juan,921,5.4
9874,Ana,138,6.2
2345,Pedro,432,6.2
4464,Carmen,921,7.746045618
1654,Rosa,138,8.801108179
5892,Carlos,432,11.63081858
746,Juan,921,9.026632449
1630,Roberto,138,6.330733618
5374,Barbara,432,8.973105901
7045,Delia,921,2.691247379
4896,Elena,138,5.753989473
2276,karen,432,3.541916166
3862,Byron,921,9.215178996
1228,Daniel,138,11.10185605
5776,Fernando,432,3.743467333
6859,Gerardo,921,11.32735615
4048,Luis,138,8.775777268
7329,Mario,432,3.663067739
6513,Mercedes,921,7.189236877
3574,Patricio,138,8.390980584
9346,Paola,432,7.640959705
9180,Sara,921,9.341800838
5923,Tania,138,10.24375357
1254,Valeria,432,8.184033273
181,Washington,921,11.54233745
9558,Xavier,138,8.369232005
5019,Zoila,432,10.74144661
5036,Carlos,921,7.511491918
385,Juan,138,8.065057021
1256,Roberto,432,4.228084882
245,Barbara,138,5.102971916
234,Delia,432,3.830932219
6564,Elena,921,9.838714135
8767,karen,138,6.038399291
435,Byron,432,2.365789617
